key,atom,cluster0,cluster1,cluster2,cluster3
3D-208,3,2.0600465782127575e-18,1.0,2.703416677032813e-68,0.0
3D-208,4,7.858177572963107e-17,1.0,1.0974541907022276e-66,0.0
3D-208,5,4.385844536983621e-12,0.9999999999956142,2.169525395532481e-58,0.0
3D-208,6,7.987390584920903e-17,1.0,1.1267579887194694e-66,0.0
3D-208,7,4.429889349494036e-12,0.9999999999955707,2.244377643248896e-58,0.0
3D-209,0,0.9998897921860521,0.00011020781394777288,2.1699107622391066e-27,0.0
3D-209,1,7.20607111794659e-14,0.9999999999999281,3.6021030464249776e-64,0.0
3D-209,2,0.9999995440981149,4.5590188538870623e-07,7.04164317663692e-21,0.0
3D-209,3,0.9998911660455222,0.00010883395447749225,2.1953026659420493e-27,0.0
3D-209,4,0.999999863132186,1.3686781415190077e-07,8.591529317274196e-18,0.0
3D-209,5,6.796724941641812e-14,0.999999999999932,3.2067693533639416e-64,0.0
3D-209,6,0.9999995454246585,4.5457534124529653e-07,7.269373135884931e-21,0.0
3D-209,7,0.9999998632141742,1.3678582591739747e-07,8.549763237868169e-18,0.0
3D-210,0,0.9999986435350329,1.3564649670133206e-06,1.365236823224126e-20,0.0
3D-210,1,1.3426008342038083e-09,0.9999999986573993,4.1341064801418754e-55,0.0
3D-210,2,5.7565897174561515e-15,0.9999999999999942,1.6080586453459922e-56,0.0
3D-210,3,0.9999986173562025,1.382643797186658e-06,1.278176259196186e-20,0.0
3D-210,4,0.9999986433692013,1.3566307984294008e-06,1.3672607471150336e-20,0.0
3D-210,5,1.3416190701992492e-09,0.9999999986583812,4.1350571595765334e-55,0.0
3D-210,6,5.755289269145602e-15,0.9999999999999942,1.6160963278266257e-56,0.0
3D-210,7,0.999998618651886,1.3813481138255108e-06,1.2793244215709563e-20,0.0
3D-211,0,0.09524540257983007,0.9047545974201701,7.713373498656202e-35,0.0
3D-211,1,1.4000399496976537e-06,0.9999985999600502,2.4557297124390357e-48,0.0
3D-211,2,1.6824125323138033e-16,1.0,1.9487464716209196e-61,0.0
3D-211,3,1.73863116564412e-08,0.9999999826136882,2.788181233100154e-47,0.0
3D-211,4,1.2030594586873704e-11,0.9999999999879696,2.4539732653300814e-52,0.0
3D-211,5,2.3439359546636336e-08,0.9999999765606404,1.9127708803908596e-48,0.0
3D-211,6,0.9999993916446658,6.083553343747033e-07,1.0422458248963738e-17,0.0
3D-211,7,2.742565939988229e-12,0.9999999999972577,1.2431357712953586e-53,0.0
3D-212,0,5.256577205118112e-21,1.0,1.3213983375142422e-69,0.0
3D-212,1,0.9999997649116096,2.350883906976284e-07,3.5869292626129466e-22,0.0
3D-212,2,4.234176650914974e-22,1.0,7.763469245444292e-76,0.0
3D-212,3,1.9707801661139425e-22,1.0,2.1322012043942329e-72,0.0
3D-212,4,1.6276143974959404e-19,1.0,1.2456750923596418e-69,0.0
3D-212,5,0.999999370591456,6.294085438892135e-07,8.461228222767089e-24,0.0
3D-212,6,1.5316771904713634e-29,7.356513918192248e-33,1.0,8.901734448206022e-166
3D-212,7,7.113516199476365e-21,1.0,1.884413883391612e-71,0.0
3D-213,0,4.1099216322913865e-20,1.0,8.207011918166853e-72,0.0
3D-213,1,2.026912742664943e-13,0.9999999999997975,6.850972209973983e-56,0.0
3D-213,2,4.045946353293694e-14,0.9999999999999596,3.6263120087995815e-56,0.0
3D-213,3,4.491816974737275e-15,0.9999999999999956,1.1720248744655322e-58,0.0
3D-213,4,2.953545352359676e-14,0.9999999999999707,4.656533205235439e-61,0.0
3D-213,5,0.9999995858605835,4.1413941656265924e-07,6.084317993721529e-19,0.0
3D-213,6,7.075246479674403e-11,0.9999999999292477,1.3517999950305397e-54,0.0
